"Site ID","Post ID",Title,Location,Type,"Post Name","Post Status"
1,43855,"This Week in Startups",https://shipstation.com/promos/this-week-in-startups/,promos,this-week-in-startups,publish
1,43856,"My Dad Wrote a Porno",https://shipstation.com/promos/my-dad-wrote-a-porno/,promos,my-dad-wrote-a-porno,publish
1,43857,"The Lively Show",https://shipstation.com/promos/the-lively-show/,promos,the-lively-show,publish
1,43858,"UK WooCommerce",https://shipstation.com/promos/uk-woocommerce/,promos,uk-woocommerce,publish
1,43859,"The Investor's",https://shipstation.com/promos/the-investors/,promos,the-investors,publish
1,43860,"Sword and Scale Rewind",https://shipstation.com/promos/sword-and-scale-rewind/,promos,sword-and-scale-rewind,publish
1,43861,"Real Crime Profile",https://shipstation.com/promos/real-crime-profile/,promos,real-crime-profile,publish
1,43862,Accused,https://shipstation.com/promos/accused/,promos,accused,publish
1,43863,"Best Case Worst Case",https://shipstation.com/promos/best-case-worst-case/,promos,best-case-worst-case,publish
1,43864,"The Rubin Report",https://shipstation.com/promos/the-rubin-report/,promos,the-rubin-report,publish
1,43865,"Locked Up Abroad",https://shipstation.com/promos/locked-up-abroad/,promos,locked-up-abroad,publish
1,43866,Stories,https://shipstation.com/promos/stories/,promos,stories,publish
1,43867,"Hollywood & Crime",https://shipstation.com/promos/hollywood-crime/,promos,hollywood-crime,publish
1,43868,"Tumble Science Podcast for Kids",https://shipstation.com/promos/tumble-science-podcast-for-kids/,promos,tumble-science-podcast-for-kids,publish
1,43869,"Sword and Scale",https://shipstation.com/promos/sword-and-scale/,promos,sword-and-scale,publish
1,43870,"Tides of History",https://shipstation.com/promos/tides-of-history/,promos,tides-of-history,publish
1,43871,"The Fall of Rome",https://shipstation.com/promos/the-fall-of-rome/,promos,the-fall-of-rome,publish
1,43872,"Drunks and Dragons",https://shipstation.com/promos/drunks-and-dragons/,promos,drunks-and-dragons,publish
1,43873,"I Hate My Boss",https://shipstation.com/promos/i-hate-my-boss/,promos,i-hate-my-boss,publish
1,43874,"Good Life Project",https://shipstation.com/promos/good-life-project-2/,promos,good-life-project-2,publish
1,43875,"True Crime All The Time Unsolved",https://shipstation.com/promos/true-crime-all-the-time-unsolved/,promos,true-crime-all-the-time-unsolved,publish
1,43876,"A STORM OF SPOILERS - A Game Of Thrones",https://shipstation.com/promos/a-storm-of-spoilers-a-game-of-thrones/,promos,a-storm-of-spoilers-a-game-of-thrones,publish
1,43877,"True Crime All The Time",https://shipstation.com/promos/true-crime-all-the-time/,promos,true-crime-all-the-time,publish
1,43878,"Talking Tech",https://shipstation.com/promos/talking-tech/,promos,talking-tech,publish
1,43879,"Pardon My Take",https://shipstation.com/promos/pardon-my-take/,promos,pardon-my-take,publish
1,43880,"Dirty John",https://shipstation.com/promos/dirty-john/,promos,dirty-john,publish
1,43881,"Do Go On",https://shipstation.com/promos/do-go-on/,promos,do-go-on,publish
1,43882,"Everything Is Black and White",https://shipstation.com/promos/everything-is-black-and-white/,promos,everything-is-black-and-white,publish
1,43883,"Filthy Casuals",https://shipstation.com/promos/filthy-casuals/,promos,filthy-casuals,publish
1,43884,"First Time Dads",https://shipstation.com/promos/first-time-dads/,promos,first-time-dads,publish
1,43885,JaackMaate,https://shipstation.com/promos/jaackmaate/,promos,jaackmaate,publish
1,43886,"Like Minded Friends",https://shipstation.com/promos/like-minded-friends/,promos,like-minded-friends,publish
1,43887,"Mirror Football",https://shipstation.com/promos/mirror-football/,promos,mirror-football,publish
1,43888,"News Roast",https://shipstation.com/promos/news-roast/,promos,news-roast,publish
1,43889,"No Such Thing As A Fish",https://shipstation.com/promos/no-such-thing-as-a-fish/,promos,no-such-thing-as-a-fish,publish
1,43890,Oddity,https://shipstation.com/promos/oddity/,promos,oddity,publish
1,43891,"Remainiacs - The Brexit",https://shipstation.com/promos/remainiacs-the-brexit/,promos,remainiacs-the-brexit,publish
1,43892,"The Royal Blue",https://shipstation.com/promos/the-royal-blue/,promos,the-royal-blue,publish
1,43893,"Star Wars Minute",https://shipstation.com/promos/star-wars-minute/,promos,star-wars-minute,publish
1,43894,"The Anfield Wrap",https://shipstation.com/promos/the-anfield-wrap/,promos,the-anfield-wrap,publish
1,43895,"The Heart of It with Estee Lalonde",https://shipstation.com/promos/the-heart-of-it-with-estee-lalonde/,promos,the-heart-of-it-with-estee-lalonde,publish
1,43896,"The Jilian Michaels Show",https://shipstation.com/promos/the-jilian-michaels-show/,promos,the-jilian-michaels-show,publish
1,43897,"The Totally Football Show",https://shipstation.com/promos/the-totally-football-show/,promos,the-totally-football-show,publish
1,43898,"The Totally Football Show League",https://shipstation.com/promos/the-totally-football-show-league/,promos,the-totally-football-show-league,publish
1,43899,"The Tottenham Way",https://shipstation.com/promos/the-tottenham-way/,promos,the-tottenham-way,publish
1,43900,"The True Geordie",https://shipstation.com/promos/the-true-geordie/,promos,the-true-geordie,publish
1,43901,"The Two Mikes - On The Record",https://shipstation.com/promos/the-two-mikes-on-the-record/,promos,the-two-mikes-on-the-record,publish
1,43902,"The Weekly Planet",https://shipstation.com/promos/the-weekly-planet/,promos,the-weekly-planet,publish
1,43903,"UK True Crime",https://shipstation.com/promos/uk-true-crime/,promos,uk-true-crime,publish
1,43904,"United We Stand",https://shipstation.com/promos/united-we-stand/,promos,united-we-stand,publish
1,43905,"The Read",https://shipstation.com/promos/the-read/,promos,the-read,publish
1,43906,Casefile,https://shipstation.com/promos/casefile/,promos,casefile,publish
1,43907,"KFC Radio",https://shipstation.com/promos/kfc-radio/,promos,kfc-radio,publish
1,43908,"The Pat McAfee Show",https://shipstation.com/promos/the-pat-mcafee-show/,promos,the-pat-mcafee-show,publish
